name,url,country,page_title,Geography,Population,region,revision_id,quality_score
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,Majah_Ha_Adrif,Afghanistan,42.4,SOUTH ASIA,1233202991.0,Start
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,Haroon_al-Afghani,Afghanistan,42.4,SOUTH ASIA,1230459615.0,B
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,Tayyab_Agha,Afghanistan,42.4,SOUTH ASIA,1225661708.0,Start
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,Khadija_Zahra_Ahmadi,Afghanistan,42.4,SOUTH ASIA,1234741562.0,Stub
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,Aziza_Ahmadyar,Afghanistan,42.4,SOUTH ASIA,1195651393.0,Start
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,Muqadasa_Ahmadzai,Afghanistan,42.4,SOUTH ASIA,1235521766.0,Start
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,Mohammad_Sarwar_Ahmedzai,Afghanistan,42.4,SOUTH ASIA,1176429234.0,Start
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,Amir_Muhammad_Akhundzada,Afghanistan,42.4,SOUTH ASIA,1247931713.0,Start
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,Nasrullah_Baryalai_Arsalai,Afghanistan,42.4,SOUTH ASIA,1225385278.0,Start
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,Abdul_Rahim_Ayoubi,Afghanistan,42.4,SOUTH ASIA,1226326055.0,Start
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,Ismael_Balkhi,Afghanistan,42.4,SOUTH ASIA,1244521219.0,Start
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,Abdul_Baqi_Turkistani,Afghanistan,42.4,SOUTH ASIA,1231655023.0,Stub
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,Mohammad_Ghous_Bashiri,Afghanistan,42.4,SOUTH ASIA,1237694188.0,Start
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,Jan_Baz,Afghanistan,42.4,SOUTH ASIA,1227635806.0,Stub
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,Bashir_Ahmad_Bezan,Afghanistan,42.4,SOUTH ASIA,1248505877.0,Start
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,Rafiullah_Bidar,Afghanistan,42.4,SOUTH ASIA,1197443408.0,Stub
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,Mohammad_Siddiq_Chakari,Afghanistan,42.4,SOUTH ASIA,1134129082.0,Stub
Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,Cheragh_Ali_Cheragh,Afghanistan,42.4,SOUTH ASIA,1193992206.0,Start
Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,Nasir_Ahmad_Durrani,Afghanistan,42.4,SOUTH ASIA,988838315.0,Stub
Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,Muhammad_Hashim_Esmatullahi,Afghanistan,42.4,SOUTH ASIA,949986748.0,Stub
Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan,Ezatullah_(Nangarhar),Afghanistan,42.4,SOUTH ASIA,1158302291.0,Stub
Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan,Aimal_Faizi,Afghanistan,42.4,SOUTH ASIA,1185105938.0,Stub
Gajinder Singh Safri,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,Afghanistan,Gajinder_Singh_Safri,Afghanistan,42.4,SOUTH ASIA,1212323536.0,Stub
Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan,Sharif_Ghalib,Afghanistan,42.4,SOUTH ASIA,1245967190.0,Start
Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan,Hashmat_Ghani_Ahmadzai,Afghanistan,42.4,SOUTH ASIA,1207743719.0,C
Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan,Abdul_Ghani_Ghani,Afghanistan,42.4,SOUTH ASIA,1227026187.0,Stub
Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,Ghulam_Ghaus,Afghanistan,42.4,SOUTH ASIA,1158659195.0,Stub
Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,Ghulam_Muhammad_Ghobar,Afghanistan,42.4,SOUTH ASIA,1240993642.0,Stub
Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,Mohammad_Gul_(Helmand_Council),Afghanistan,42.4,SOUTH ASIA,1136611354.0,Stub
Sayed Yousuf Halim,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,Afghanistan,Sayed_Yousuf_Halim,Afghanistan,42.4,SOUTH ASIA,1234514565.0,Stub
Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,Rangina_Hamidi,Afghanistan,42.4,SOUTH ASIA,1234743111.0,C
Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,Sayed_Zafar_Hashemi,Afghanistan,42.4,SOUTH ASIA,1179137138.0,Start
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,Qutbuddin_Hilal,Afghanistan,42.4,SOUTH ASIA,1246566795.0,Start
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,Mahboba_Hoqomal,Afghanistan,42.4,SOUTH ASIA,1243745950.0,Stub
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,Musa_Hotak,Afghanistan,42.4,SOUTH ASIA,1246566804.0,Start
Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,Mirza_Muhammad_Ismail,Afghanistan,42.4,SOUTH ASIA,1235165845.0,C
Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,Sayed_Jalal,Afghanistan,42.4,SOUTH ASIA,1137130537.0,Start
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,Said_Tayeb_Jawad,Afghanistan,42.4,SOUTH ASIA,1248976824.0,C
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,Sayed_Jalal_Karim,Afghanistan,42.4,SOUTH ASIA,1136614743.0,Start
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,Hafizullah_Shabaz_Khail,Afghanistan,42.4,SOUTH ASIA,1238402857.0,Start
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,Masoud_Khalili,Afghanistan,42.4,SOUTH ASIA,1246566971.0,GA
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,Mohammad_Khan_(athlete),Afghanistan,42.4,SOUTH ASIA,1247727443.0,Stub
Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,Samoud_Khan,Afghanistan,42.4,SOUTH ASIA,1195409073.0,Start
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,Baran_Khan_Kudezai,Afghanistan,42.4,SOUTH ASIA,1176481824.0,Start
