page_title,revision_id,quality_score
Majah_Ha_Adrif,1233202991,Start
Haroon_al-Afghani,1230459615,B
Tayyab_Agha,1225661708,Start
Khadija_Zahra_Ahmadi,1234741562,Stub
Aziza_Ahmadyar,1195651393,Start
Muqadasa_Ahmadzai,1235521766,Start
Mohammad_Sarwar_Ahmedzai,1176429234,Start
Amir_Muhammad_Akhundzada,1247931713,Start
Nasrullah_Baryalai_Arsalai,1225385278,Start
Abdul_Rahim_Ayoubi,1226326055,Start
Ismael_Balkhi,1244521219,Start
Abdul_Baqi_Turkistani,1231655023,Stub
Mohammad_Ghous_Bashiri,1237694188,Start
Jan_Baz,1227635806,Stub
Bashir_Ahmad_Bezan,1248505877,Start
Rafiullah_Bidar,1197443408,Stub
Mohammad_Siddiq_Chakari,1134129082,Stub
Cheragh_Ali_Cheragh,1193992206,Start
Nasir_Ahmad_Durrani,988838315,Stub
Muhammad_Hashim_Esmatullahi,949986748,Stub
Ezatullah_(Nangarhar),1158302291,Stub
Aimal_Faizi,1185105938,Stub
Gajinder_Singh_Safri,1212323536,Stub
Sharif_Ghalib,1245967190,Start
Hashmat_Ghani_Ahmadzai,1207743719,C
Abdul_Ghani_Ghani,1227026187,Stub
Ghulam_Ghaus,1158659195,Stub
Ghulam_Muhammad_Ghobar,1240993642,Stub
Mohammad_Gul_(Helmand_Council),1136611354,Stub
Sayed_Yousuf_Halim,1234514565,Stub
Rangina_Hamidi,1234743111,C
Sayed_Zafar_Hashemi,1179137138,Start
Qutbuddin_Hilal,1246566795,Start
Mahboba_Hoqomal,1243745950,Stub
Musa_Hotak,1246566804,Start
Mirza_Muhammad_Ismail,1235165845,C
Sayed_Jalal,1137130537,Start
Said_Tayeb_Jawad,1248976824,C
Sayed_Jalal_Karim,1136614743,Start
Hafizullah_Shabaz_Khail,1238402857,Start
Masoud_Khalili,1246566971,GA
Mohammad_Khan_(athlete),1247727443,Stub
Samoud_Khan,1195409073,Start
Baran_Khan_Kudezai,1176481824,Start
Azizullah_Lodin,1247762293,Start
Razaq_Mamoon,1227180106,Start
Fazel_Ahmed_Manawi,1234514379,Start
Moeen_Marastial,1246567093,Start
Ahmad_Wali_Massoud,1221720658,Start
Mohammad_Daud_Miraki,1227103354,C
Abdul_Sattar_Mirzakwal,1145249317,Stub
Abdul_Karim_Misaq,1235405154,Stub
Ali_Mohammad_(politician),1136630194,Stub
Nasruddin_Mohseni,1136630129,Start
Davood_Moradian,1239319380,Stub
Zalmai_Mujadidi,1223903677,Start
Sardar_Mohammad_Nadir_Naeem,1204109653,Stub
Daoud_Naji,1247131367,Start
Gholam_Rabani_Nasher,1136534788,Stub
Ghulam_Faroq_Nijrabi,1136614778,Stub
Zabih-U-llah_Ghazi_Noristani,1136614682,Start
Mohammed_Tahir_Omar,1185088733,Stub
Mohammed_Qalamuddin,1178097642,Stub
Ghulam_Mohammad_Rigi,1129192917,Stub
Ghulam_Hassan_Safi,1176507815,Stub
Hanifa_Safi,1123824802,Stub
Mohammed_Zia_Salehi,1225457074,Stub
Abdul_Majid_Samim,1225425205,Stub
Saber_Sangar,1227951669,Stub
Sayed_Nasim_Mihanparast,1172646418,Stub
Suhail_Shaheen,1198363158,Start
Fazal_Hadi_Shinwari,1242412237,GA
Baktash_Siawash,1250972393,Stub
Hasan_Ali_Sultani,1136614726,Stub
Mohammad_Hashem_Taufiqui,1233490009,Start
Pacha_Gul_Wafadar,1227179979,Stub
Wahidullah_Waissi,1232389768,C
Ahmadullah_Wasiq,1171042170,Start
Gul_Ahmmad_Yama,1136614561,Start
Abdul_Salam_Zaeef,1243758857,GA
Abdul_Zahir_(Konar_Education_Minister),1126667481,Stub
Mohammed_Zaman,1229734414,Start
Ziauddin_(Afghan_militia_leader),1150044800,Start
Qari_Ziauddin,1245217124,Start
Abdul_Ghafor_Zori,1136614520,Stub
Ali_Pasha_of_Gusinje,1244421894,GA
Ylli_Asllani,1221605713,Start
Azis_Tahir_Ajdonati,1192928746,Stub
Bislim_Bajgora,1217284690,C
Kastriot_Berissa,1244463139,Start
Bardhok_Biba,1250227174,C
Kostandin_Boshnjaku,1250227994,C
Spartak_Braho,1224650124,Start
Safet_Butka,1189442848,C
Uran_Butka,1196422551,Start
Refo_Çapari,1222381064,Start
